Postcode,SplitIndicator,CouncilArea2019Code,ElectoralWard2019Code,Islands2020Code,CouncilArea2019Name,ElectoralWard2019Name,Island2020Name,InhabitedStatus
AB12 3GQA,Y,S12000034,S13002864,000,Aberdeenshire,North Kincardine,Mainland,Y
AB12 3GQB,Y,S12000033,S13002847,000,Aberdeen City,Kincorth/Nigg/Cove,Mainland,Y
AB12 3LPA,Y,S12000033,S13002847,000,Aberdeen City,Kincorth/Nigg/Cove,Mainland,Y
AB12 3LPB,Y,S12000034,S13002864,000,Aberdeenshire,North Kincardine,Mainland,Y
AB12 3TPA,Y,S12000034,S13002864,000,Aberdeenshire,North Kincardine,Mainland,Y
AB12 3TPB,Y,S12000033,S13002847,000,Aberdeen City,Kincorth/Nigg/Cove,Mainland,Y
AB12 5YLA,Y,S12000034,S13002864,000,Aberdeenshire,North Kincardine,Mainland,Y
AB12 5YLB,Y,S12000033,S13002847,000,Aberdeen City,Kincorth/Nigg/Cove,Mainland,Y
AB14 0LTA,Y,S12000033,S13002843,000,Aberdeen City,Lower Deeside,Mainland,Y
AB14 0LTB,Y,S12000034,S13002865,000,Aberdeenshire,Stonehaven and Lower Deeside,Mainland,Y
AB14 0NBA,Y,S12000033,S13002843,000,Aberdeen City,Lower Deeside,Mainland,Y
AB14 0NBB,Y,S12000034,S13002865,000,Aberdeenshire,Stonehaven and Lower Deeside,Mainland,Y
AB15 8QSA,Y,S12000034,S13002860,000,Aberdeenshire,Westhill and District,Mainland,Y
AB15 8QSB,Y,S12000033,S13002837,000,Aberdeen City,Kingswells/Sheddocksley/Summerhill,Mainland,Y
AB15 8RNA,Y,S12000033,S13002835,000,Aberdeen City,Dyce/Bucksburn/Danestone,Mainland,Y
AB15 8RNB,Y,S12000034,S13002860,000,Aberdeenshire,Westhill and District,Mainland,Y
AB15 8RQA,Y,S12000033,S13002837,000,Aberdeen City,Kingswells/Sheddocksley/Summerhill,Mainland,Y
AB15 8RQB,Y,S12000034,S13002860,000,Aberdeenshire,Westhill and District,Mainland,Y
AB21 0TAA,Y,S12000033,S13002835,000,Aberdeen City,Dyce/Bucksburn/Danestone,Mainland,Y
AB21 0TAB,Y,S12000034,S13002859,000,Aberdeenshire,East Garioch,Mainland,Y
AB21 0TBA,Y,S12000033,S13002835,000,Aberdeen City,Dyce/Bucksburn/Danestone,Mainland,Y
AB21 0TBB,Y,S12000034,S13002859,000,Aberdeenshire,East Garioch,Mainland,Y
AB21 0TDA,Y,S12000033,S13002835,000,Aberdeen City,Dyce/Bucksburn/Danestone,Mainland,Y
AB21 0TDB,Y,S12000034,S13002859,000,Aberdeenshire,East Garioch,Mainland,Y
AB21 7AQA,Y,S12000034,S13002859,000,Aberdeenshire,East Garioch,Mainland,Y
AB21 7AQB,Y,S12000033,S13002836,000,Aberdeen City,Bridge of Don,Mainland,Y
AB23 8BSA,Y,S12000033,S13002836,000,Aberdeen City,Bridge of Don,Mainland,Y
AB23 8BSB,Y,S12000034,S13002855,000,Aberdeenshire,Mid Formartine,Mainland,Y
AB23 8UTA,Y,S12000034,S13002855,000,Aberdeenshire,Mid Formartine,Mainland,Y
AB23 8UTB,Y,S12000033,S13002836,000,Aberdeen City,Bridge of Don,Mainland,Y
AB31 5ASA,Y,S12000034,S13002865,000,Aberdeenshire,Stonehaven and Lower Deeside,Mainland,Y
AB31 5ASB,Y,S12000033,S13002843,000,Aberdeen City,Lower Deeside,Mainland,Y
AB31 5ETA,Y,S12000034,S13002865,000,Aberdeenshire,Stonehaven and Lower Deeside,Mainland,Y
AB31 5ETB,Y,S12000033,S13002843,000,Aberdeen City,Lower Deeside,Mainland,Y
AB32 6SQA,Y,S12000034,S13002860,000,Aberdeenshire,Westhill and District,Mainland,Y
AB32 6SQB,Y,S12000033,S13002843,000,Aberdeen City,Lower Deeside,Mainland,Y
AB32 6XAA,Y,S12000034,S13002860,000,Aberdeenshire,Westhill and District,Mainland,Y
AB32 6XAB,Y,S12000033,S13002843,000,Aberdeen City,Lower Deeside,Mainland,Y
AB36 8YPA,Y,S12000034,S13002862,000,Aberdeenshire,"Aboyne, Upper Deeside and Donside",Mainland,Y
AB36 8YPB,Y,S12000020,S13003024,000,Moray,Speyside Glenlivet,Mainland,Y
AB42 3NFA,Y,S12000034,S13002853,000,Aberdeenshire,Peterhead South and Cruden,Mainland,Y
AB42 3NFB,Y,S12000034,S13002853,171,Aberdeenshire,Peterhead South and Cruden,Buchanness Lighthouse,Y
AB45 2XRA,Y,S12000020,S13003025,000,Moray,Keith and Cullen,Mainland,Y
AB45 2XRB,Y,S12000034,S13002848,000,Aberdeenshire,Banff and District,Mainland,Y
AB54 4YUA,Y,S12000034,S13002861,000,Aberdeenshire,"Huntly, Strathbogie and Howe of Alford",Mainland,Y
AB54 4YUB,Y,S12000020,S13003024,000,Moray,Speyside Glenlivet,Mainland,Y
AB54 7LQA,Y,S12000020,S13003025,000,Moray,Keith and Cullen,Mainland,Y
AB54 7LQB,Y,S12000034,S13002848,000,Aberdeenshire,Banff and District,Mainland,Y
AB54 7LRA,Y,S12000020,S13003025,000,Moray,Keith and Cullen,Mainland,Y
AB54 7LRB,Y,S12000034,S13002848,000,Aberdeenshire,Banff and District,Mainland,Y
AB54 7NHA,Y,S12000034,S13002861,000,Aberdeenshire,"Huntly, Strathbogie and Howe of Alford",Mainland,Y
AB54 7NHB,Y,S12000020,S13003025,000,Moray,Keith and Cullen,Mainland,Y
AB54 7NNA,Y,S12000020,S13003025,000,Moray,Keith and Cullen,Mainland,Y
AB54 7NNB,Y,S12000034,S13002848,000,Aberdeenshire,Banff and District,Mainland,Y
AB54 7NSA,Y,S12000034,S13002848,000,Aberdeenshire,Banff and District,Mainland,Y
AB54 7NSB,Y,S12000020,S13003025,000,Moray,Keith and Cullen,Mainland,Y
AB54 7ULA,Y,S12000034,S13002861,000,Aberdeenshire,"Huntly, Strathbogie and Howe of Alford",Mainland,Y
AB54 7ULB,Y,S12000020,S13003025,000,Moray,Keith and Cullen,Mainland,Y
AB54 7UNA,Y,S12000034,S13002854,000,Aberdeenshire,Turriff and District,Mainland,Y
AB54 7UNB,Y,S12000020,S13003025,000,Moray,Keith and Cullen,Mainland,Y
AB54 7XJA,Y,S12000034,S13002854,000,Aberdeenshire,Turriff and District,Mainland,Y
AB54 7XJB,Y,S12000020,S13003025,000,Moray,Keith and Cullen,Mainland,Y
DD2 5EGA,Y,S12000048,S13003063,000,Perth and Kinross,Carse of Gowrie,Mainland,Y
DD2 5EGB,Y,S12000042,S13002546,000,Dundee City,Lochee,Mainland,Y
DD2 5EJA,Y,S12000042,S13002546,000,Dundee City,Lochee,Mainland,Y
DD2 5EJB,Y,S12000048,S13003063,000,Perth and Kinross,Carse of Gowrie,Mainland,Y
DD2 5LFA,Y,S12000041,S13002870,000,Angus,Monifieth and Sidlaw,Mainland,Y
DD2 5LFB,Y,S12000048,S13003063,000,Perth and Kinross,Carse of Gowrie,Mainland,Y
DD2 5LGA,Y,S12000048,S13003063,000,Perth and Kinross,Carse of Gowrie,Mainland,Y
DD2 5LGB,Y,S12000041,S13002870,000,Angus,Monifieth and Sidlaw,Mainland,Y
DD2 5NDA,Y,S12000041,S13002870,000,Angus,Monifieth and Sidlaw,Mainland,Y
DD2 5NDB,Y,S12000042,S13002546,000,Dundee City,Lochee,Mainland,Y
DD3 0PEA,Y,S12000042,S13002545,000,Dundee City,Strathmartine,Mainland,Y
DD3 0PEB,Y,S12000041,S13002870,000,Angus,Monifieth and Sidlaw,Mainland,Y
DD3 0PLA,Y,S12000041,S13002870,000,Angus,Monifieth and Sidlaw,Mainland,Y
DD3 0PLB,Y,S12000042,S13002545,000,Dundee City,Strathmartine,Mainland,Y
DD3 9SZA,Y,S12000042,S13002545,000,Dundee City,Strathmartine,Mainland,Y
DD3 9SZB,Y,S12000041,S13002870,000,Angus,Monifieth and Sidlaw,Mainland,Y
DD4 0QGA,Y,S12000041,S13002870,000,Angus,Monifieth and Sidlaw,Mainland,Y
DD4 0QGB,Y,S12000042,S13002830,000,Dundee City,North East,Mainland,Y
DD5 3NNA,Y,S12000042,S13002552,000,Dundee City,The Ferry,Mainland,Y
DD5 3NNB,Y,S12000041,S13002870,000,Angus,Monifieth and Sidlaw,Mainland,Y
DD5 3NXA,Y,S12000042,S13002552,000,Dundee City,The Ferry,Mainland,Y
DD5 3NXB,Y,S12000041,S13002870,000,Angus,Monifieth and Sidlaw,Mainland,Y
DD5 4HTA,Y,S12000041,S13002870,000,Angus,Monifieth and Sidlaw,Mainland,Y
DD5 4HTB,Y,S12000042,S13002552,000,Dundee City,The Ferry,Mainland,Y
DD8 1SLA,Y,S12000041,S13002867,000,Angus,Kirriemuir and Dean,Mainland,Y
DD8 1SLB,Y,S12000048,S13003064,000,Perth and Kinross,Strathmore,Mainland,Y
